,location_name,blockgroup_id,status,distance,from_lat,from_long,to_lat,to_long
2212,On N Parkside Ave From W West End Ave To W Fulton St,'170312520001',check,0.164868467,41.884218,-87.766604,41.8857,-87.766665
2036,On N Paulina St From W Devon Ave To W Highland Ave,'170310303001',check,0.128073265,41.997985,-87.672268,41.9968562,-87.6719599
2295,On N Peoria St From W Erie St To W Huron St,'170312435002',check,0.190898045,41.8933435,-87.6500686,41.8950597,-87.6501288
3217,On N Pulaski Rd From W Waveland Ave To W Addison St,'170311609002',check,0.201186331,41.948204,-87.727446,41.946395,-87.727401
2297,On N Racine Ave From W Kinzie St To W Hubbard St,'170312435001',check,0.116389856,41.8889499,-87.6569745,41.890004,-87.657375
2298,On N Racine Ave From W Kinzie St To W Hubbard St,'170312434002',check,0.005419157,41.8889499,-87.6569745,41.890004,-87.657375
3133,On N Racine Ave From W Melrose St To W Belmont Ave,'170310622002',check,0.057870177,41.940737,-87.6589814,41.9398663,-87.6589761
3134,On N Racine Ave From W Melrose St To W Belmont Ave,'170310623001',check,0.038948375,41.940737,-87.6589814,41.9398663,-87.6589761
608,On N Spokane Ave From N Leoti Ave To W Devon Ave,'170311202002',check,0.061113895,41.9968845,-87.7611487,41.997336,-87.760727
156,On N Springfield Ave From W Belmont Ave To W Barry Ave,'170318311003',check,0.002000059,41.93914,-87.724744,41.9373185,-87.7259059
157,On N Springfield Ave From W Belmont Ave To W Barry Ave,'170312105012',check,0.222186236,41.93914,-87.724744,41.9373185,-87.7259059
2222,On N Troy St From W Chicago Ave To W Ohio St,'170318366001',check,0.001254373,41.895576,-87.705349,41.891903,-87.705212
2223,On N Troy St From W Chicago Ave To W Ohio St,'170318367002',check,0.407322563,41.895576,-87.705349,41.891903,-87.705212
2307,On N Union Ave From W Grand Ave To W Hubbard St,'170318423002',check,0.123182827,41.8912077,-87.6458148,41.8901,-87.645794
2310,On N Waller Ave From W Chicago Ave To W Ohio St,'170312514002',check,0.203383277,41.894832,-87.767935,41.8910696,-87.7678049
2311,On N Waller Ave From W Chicago Ave To W Ohio St,'170312513002',check,0.001542464,41.894832,-87.767935,41.8910696,-87.7678049
2312,On N Waller Ave From W Chicago Ave To W Ohio St,'170312514001',check,0.213573215,41.894832,-87.767935,41.8910696,-87.7678049
2225,On N Washtenaw Ave From W Albion Ave To W Devon Ave,'170310206013',check,0.253472019,42.0012269,-87.6972906,41.997595,-87.697222
2226,On N Washtenaw Ave From W Albion Ave To W Devon Ave,'170310208023',check,0.000739575,42.0012269,-87.6972906,41.997595,-87.697222
2227,On N Washtenaw Ave From W Albion Ave To W Devon Ave,'170310206023',check,0.149677613,42.0012269,-87.6972906,41.997595,-87.697222
1526,On N Washtenaw Ave From W Chicago Ave To W Grand Ave,'170312426004',check,0.001715743,41.895683,-87.69429,41.893368,-87.694248
1527,On N Washtenaw Ave From W Chicago Ave To W Grand Ave,'170312428001',check,0.255724349,41.895683,-87.69429,41.893368,-87.694248
161,On N Washtenaw Ave From W Winona St To W Argyle St,'170310402012',check,0.18712802,41.9747895,-87.696441,41.972194,-87.696362
162,On N Washtenaw Ave From W Winona St To W Argyle St,'170310402014',check,0.101552703,41.9747895,-87.696441,41.972194,-87.696362
1402,On N Wayne Ave From W Morse Ave To W Pratt Blvd,'170310105013',check,0.139272921,42.0079622,-87.6650276,42.0055221,-87.6649362
1403,On N Wayne Ave From W Morse Ave To W Pratt Blvd,'170310105022',check,0.13215928,42.0079622,-87.6650276,42.0055221,-87.6649362
3139,On N Western Ave From N 404 To W Grand Ave,'170312428001',check,0.201678805,41.888777,-87.687006,41.890672,-87.686675
3140,On N Western Ave From N 404 To W Grand Ave,'170312429002',check,0.010809772,41.888777,-87.687006,41.890672,-87.686675
2316,On N Western Ave From W Granville Ave To W Devon Ave,'170310209013',check,0.202023702,41.9940952,-87.6897356,41.99773,-87.689814
2317,On N Western Ave From W Granville Ave To W Devon Ave,'170310209011',check,0.202200114,41.9940952,-87.6897356,41.99773,-87.689814
89,On S Aberdeen St From W 107th St To W 107th Pl,'170317501002',check,0.102987565,41.699563,-87.64991,41.698637,-87.649885
2325,On S Aberdeen St From W 83rd St To W 84th St,'170317108006',check,0.000328038,41.743254,-87.651112,41.741418,-87.651053
2326,On S Aberdeen St From W 83rd St To W 84th St,'170317110001',check,0.203884813,41.743254,-87.651112,41.741418,-87.651053
2362,On S Aberdeen St From W Adams St To W Monroe St,'170318331001',check,0.14041904,41.879124,-87.654604,41.880386,-87.654665
180,On S Avenue J From E 104th St To E 103rd St,'170315204004',check,0.203709664,41.706384,-87.534067,41.708216,-87.534063
2040,On S Central Park Ave From W 26th St To W 28th St,'170313006002',check,0.001115331,41.844395,-87.714789,41.840727,-87.714694
2041,On S Central Park Ave From W 26th St To W 28th St,'170313016001',check,0.144138023,41.844395,-87.714789,41.840727,-87.714694
2042,On S Central Park Ave From W 26th St To W 28th St,'170313017011',check,0.203967008,41.844395,-87.714789,41.840727,-87.714694
2043,On S Central Park Ave From W 26th St To W 28th St,'170313017012',check,0.05871912,41.844395,-87.714789,41.840727,-87.714694
1668,On S Central Park Ave From W Cermak Rd To W 28th St,'170313006001',check,0.403731384,41.851699,-87.715008,41.840727,-87.714694
1669,On S Central Park Ave From W Cermak Rd To W 28th St,'170313006002',check,0.405740712,41.851699,-87.715008,41.840727,-87.714694
1670,On S Central Park Ave From W Cermak Rd To W 28th St,'170313017011',check,0.203966344,41.851699,-87.715008,41.840727,-87.714694
1671,On S Central Park Ave From W Cermak Rd To W 28th St,'170318414002',check,0.004014827,41.851699,-87.715008,41.840727,-87.714694
1672,On S Central Park Ave From W Cermak Rd To W 28th St,'170313017012',check,0.202856409,41.851699,-87.715008,41.840727,-87.714694
1542,On S Champlain Ave From E 80th St To E 81st St,'170314402011',check,0.203261433,41.7493941,-87.6088165,41.7475133,-87.6086996
1543,On S Champlain Ave From E 80th St To E 81st St,'170314402013',check,0.006099017,41.7493941,-87.6088165,41.7475133,-87.6086996
3228,On S Clark St From W 16th St To W 17th St,'170313302002',check,0.12998729,41.860122,-87.630255,41.858953,-87.630258
376,On S Cottage Grove Ave From E 41st St To E 43rd St,'170313801001',check,0.102419028,41.820526,-87.606802,41.816843,-87.606696
377,On S Cottage Grove Ave From E 41st St To E 43rd St,'170318364003',check,0.30720666,41.820526,-87.606802,41.816843,-87.606696
1017,On S Crandon Ave From E 69th St To E 70th St,'170318439004',check,0.005816627,41.769925,-87.569893,41.768026,-87.56984
1018,On S Crandon Ave From E 69th St To E 70th St,'170314301022',check,0.00231434,41.769925,-87.569893,41.768026,-87.56984
1019,On S Crandon Ave From E 69th St To E 70th St,'170314301023',check,0.203074239,41.769925,-87.569893,41.768026,-87.56984
611,On S Damen Ave From W 100th St To W 101st St,'170317203001',check,0.201512377,41.7120138,-87.6721251,41.710202,-87.6720715
2866,On S Damen Ave From W 18th St To W 17th St,'170313109003',check,0.100660207,41.857722,-87.676019,41.858627,-87.676048
166,On S Davol St From W Monterey Ave To W Waseca Pl,'170317505003',check,0.104760471,41.689374,-87.662499,41.68846,-87.662805
2055,On S Dr Martin Luther King Jr Dr From S Burnside Ave To E 93rd St,'170314903001',check,0.14836776,41.726872,-87.614282,41.725538,-87.614244
622,On S Drexel Ave From E 65th St To E 64th St,'170314208002',check,0.002626571,41.776781,-87.603422,41.7786283,-87.602847
623,On S Drexel Ave From E 65th St To E 64th St,'170314208001',check,0.208245307,41.776781,-87.603422,41.7786283,-87.602847
258,On S Eberhart Ave From E 87th St To E 89th St,'170314407002',check,0.406158899,41.7365419,-87.6120975,41.732882,-87.612022
259,On S Eberhart Ave From E 87th St To E 89th St,'170314402023',check,0.000327527,41.7365419,-87.6120975,41.732882,-87.612022
260,On S Eberhart Ave From E 87th St To E 89th St,'170314409003',check,0.000524679,41.7365419,-87.6120975,41.732882,-87.612022
740,On S Genoa Ave From W 98th St To W 96th St,'170317304003',check,0.19850831,41.715811,-87.651374,41.719245,-87.650105
741,On S Genoa Ave From W 98th St To W 96th St,'170317304001',check,0.197595864,41.715811,-87.651374,41.719245,-87.650105
1066,On S Greenwood Ave From E 65th St To E 67th St,'170318344003',check,0.405097957,41.776833,-87.599297,41.773189,-87.599667
1067,On S Greenwood Ave From E 65th St To E 67th St,'170318418002',check,0.001256947,41.776833,-87.599297,41.773189,-87.599667
2499,On S Halsted St From W Root St To W 47th St,'170318426001',check,0.276335529,41.818669,-87.645766,41.8089053,-87.6455368
2500,On S Halsted St From W Root St To W 47th St,'170318426004',check,0.809506067,41.818669,-87.645766,41.8089053,-87.6455368
574,On S Harvard Ave From W 120th St To W 122nd St,'170315305011',check,0.201234137,41.676118,-87.631033,41.672437,-87.630898
575,On S Harvard Ave From W 120th St To W 122nd St,'170315305013',check,0.208228514,41.676118,-87.631033,41.672437,-87.630898
1234,On S Iron St From W 34th St To W 35th St,'170318404001',check,0.219648585,41.8323577,-87.6605181,41.830599,-87.659311
2432,On S Justine St From W 65th St To W 66th St,'170316711001',check,0.204287304,41.775865,-87.6628971,41.774028,-87.662861
2433,On S Kenneth Ave From W Cermak Rd To W Ogden Ave,'170318434001',check,0.444025643,41.851305,-87.735626,41.847315,-87.735411
503,On S Michigan Ave From E Marquette Rd To E 66th Pl,'170316904004',check,0.002047148,41.772834,-87.621906,41.774081,-87.622765
504,On S Michigan Ave From E Marquette Rd To E 66th Pl,'170318425001',check,0.153840847,41.772834,-87.621906,41.774081,-87.622765
1567,On S Millard Ave From W 15th St To W 16th St,'170318387004',check,0.204088418,41.860813,-87.71648,41.858978,-87.716428
2456,On S Monitor Ave From W Railroad Ave To W Fillmore St,'170318314002',check,0.310413749,41.8701213,-87.7706079,41.8673311,-87.7704886
1136,On S Morgan St From W 32nd Pl To W 32nd St,'170316009002',check,0.059748889,41.835617,-87.651086,41.8361542,-87.6511021
2373,On S Morgan St From W Monroe St To W Adams St,'170318331001',check,0.14135378,41.880436,-87.65199,41.879165,-87.651958
1137,On S Mozart St From W 82nd St To W 83rd St,'170317005013',check,1.09E-05,41.744464,-87.693708,41.742641,-87.693652
1138,On S Mozart St From W 82nd St To W 83rd St,'170317005016',check,0.202750941,41.744464,-87.693708,41.742641,-87.693652
2860,On S Muskegon Ave From E 78th St To E 79th St,'170314313011',check,0.201564458,41.753683,-87.555562,41.751872,-87.555325
2861,On S Muskegon Ave From E 78th St To E 79th St,'170314603021',check,0.000767274,41.753683,-87.555562,41.751872,-87.555325
2913,On S Normal Ave From W 44th St To W 44th Pl,'170316108001',check,0.098745675,41.8144577,-87.6383832,41.8135701,-87.6383457
2862,On S Normal Ave From W 88th St To W 87th St,'170317115001',check,0.169362958,41.7343764,-87.6362719,41.735899,-87.636325
2914,On S Parnell Ave From W 43rd St To W 43rd Pl,'170318426001',check,0.001848334,41.8163068,-87.6393327,41.8153773,-87.6393059
2915,On S Parnell Ave From W 43rd St To W 43rd Pl,'170316108001',check,0.101531357,41.8163068,-87.6393327,41.8153773,-87.6393059
662,On S Perry Ave From W 112th St To W 113th St,'170314913001',check,0.202450815,41.69074,-87.625784,41.688915,-87.625728
663,On S Perry Ave From W 112th St To W 113th St,'170314913002',check,0.000533481,41.69074,-87.625784,41.688915,-87.625728
2385,On S Racine Ave From W 103rd St To W 104th St,'170317306002',check,0.00011947,41.706829,-87.652563,41.7050091,-87.6525209
2386,On S Racine Ave From W 103rd St To W 104th St,'170317307002',check,0.20227464,41.706829,-87.652563,41.7050091,-87.6525209
