,location_name,from,to
457,On W Moffat St From N Leavitt St To N Hoyne Ave,W Moffat St And N Leavitt St,W Moffat St And N Hoyne Ave
458,W Ainslie St And N Menard Ave,W Ainslie St And N Menard Ave,
459,On W School St From N Olcott Ave To N Oleander Ave,W School St And N Olcott Ave,W School St And N Oleander Ave
460,On W Wabansia Ave From N Narragansett Ave To N Nashville Ave,W Wabansia Ave And N Narragansett Ave,W Wabansia Ave And N Nashville Ave
461,On W Waveland Ave From N Lotus Ave To N Long Ave,W Waveland Ave And N Lotus Ave,W Waveland Ave And N Long Ave
462,E 84th St And S Bennett Ave,E 84th St And S Bennett Ave,
463,N Natoma Ave And W Argyle St,N Natoma Ave And W Argyle St,
464,N Rutherford Ave And W Argyle St,N Rutherford Ave And W Argyle St,
465,S Bell Ave And W 91st St,S Bell Ave And W 91st St,
466,S Claremont Ave And W 91st St,S Claremont Ave And W 91st St,
467,S Eggleston Ave And W 105th St,S Eggleston Ave And W 105th St,
468,W 106th St And S Sacramento Ave,W 106th St And S Sacramento Ave,
469,On W 32nd St From S Racine Ave To S Throop St,W 32nd St And S Racine Ave,W 32nd St And S Throop St
470,On W Peterson Ave From N Melvina Ave To N Nagle Ave,W Peterson Ave And N Melvina Ave,W Peterson Ave And N Nagle Ave
471,On W 116th St From S Lafayette Ave To S State St,W 116th St And S Lafayette Ave,W 116th St And S State St
472,On N Sauganash Ave From W Peterson Ave To N Keeler Ave,N Sauganash Ave And W Peterson Ave,N Sauganash Ave And N Keeler Ave
473,On S Yale Ave From W 120th St To W 122nd St,S Yale Ave And W 120th St,S Yale Ave And W 122nd St
474,W Maypole Ave And N Hamlin Blvd,W Maypole Ave And N Hamlin Blvd,
475,On N Campbell Ave From W Belle Plaine Ave To W Warner Ave,N Campbell Ave And W Belle Plaine Ave,N Campbell Ave And W Warner Ave
476,On N Hoyne Ave From W Argyle St To W Ainslie St,N Hoyne Ave And W Argyle St,N Hoyne Ave And W Ainslie St
477,On N Ionia Ave From W Fitch Ave To N Tonty Ave,N Ionia Ave And W Fitch Ave,N Ionia Ave And N Tonty Ave
478,On N Keeler Ave From W Ainslie St To W Argyle St,N Keeler Ave And W Ainslie St,N Keeler Ave And W Argyle St
479,On N Kennison Ave From N Kilbourn Ave To N Kolmar Ave,N Kennison Ave And N Kilbourn Ave,N Kennison Ave And N Kolmar Ave
480,On N Kostner Ave From W Foster Ave To W Carmen Ave,N Kostner Ave And W Foster Ave,N Kostner Ave And W Carmen Ave
481,On N Laramie Ave From W Diversey Ave To W Nelson St,N Laramie Ave And W Diversey Ave,N Laramie Ave And W Nelson St
482,On N Leavitt St From W Armitage Ave To W Moffat St,N Leavitt St And W Armitage Ave,N Leavitt St And W Moffat St
483,On N Leclaire Ave From W Parker Ave To W Montana St,N Leclaire Ave And W Parker Ave,N Leclaire Ave And W Montana St
484,On N Lotus Ave From W Bloomingdale Ave To W Cortland St,N Lotus Ave And W Bloomingdale Ave,N Lotus Ave And W Cortland St
486,On N Melvina Ave From N Milwaukee Ave To W Peterson Ave,N Melvina Ave And N Milwaukee Ave,N Melvina Ave And W Peterson Ave
487,On N Ottawa Ave From W Touhy Ave To W Chase Ave,N Ottawa Ave And W Touhy Ave,N Ottawa Ave And W Chase Ave
488,On N Spaulding Ave From W Lawrence Ave To W Leland Ave,N Spaulding Ave And W Lawrence Ave,N Spaulding Ave And W Leland Ave
489,On S Cregier Ave From E 83rd Pl To E 86th St,S Cregier Ave And E 83rd Pl,S Cregier Ave And E 86th St
490,On S Green St From W 106th St To W 107th St,S Green St And W 106th St,S Green St And W 107th St
491,On S Harvard Ave From W 120th St To W 122nd St,S Harvard Ave And W 120th St,S Harvard Ave And W 122nd St
492,On S Hoyne Ave From W 101st St To W 102nd St,S Hoyne Ave And W 101st St,S Hoyne Ave And W 102nd St
493,On S Lawndale Ave From W 61st St To W 63rd St,S Lawndale Ave And W 61st St,S Lawndale Ave And W 63rd St
494,On S Oakley Ave From W 101st St To W 102nd St,S Oakley Ave And W 101st St,S Oakley Ave And W 102nd St
495,On S Princeton Ave From W 120th St To W 122nd St,S Princeton Ave And W 120th St,S Princeton Ave And W 122nd St
496,On S St Louis Ave From W 83rd Pl To W 85th St,S St Louis Ave And W 83rd Pl,S St Louis Ave And W 85th St
497,On S Wabash Ave From E Marquette Rd To E 66th Pl,S Wabash Ave And E Marquette Rd,S Wabash Ave And E 66th Pl
498,On N Monticello Ave From W Ohio St To W Ferdinand St,N Monticello Ave And W Ohio St,N Monticello Ave And W Ferdinand St
499,W Washington Blvd And N Pulaski Rd,W Washington Blvd And N Pulaski Rd,
516,On S Troy St From W Jackson Blvd To W Fifth Ave,S Troy St And W Jackson Blvd,S Troy St And W Fifth Ave
517,On W Jackson Blvd From S Kedzie Ave To S Albany Ave,W Jackson Blvd And S Kedzie Ave,W Jackson Blvd And S Albany Ave
518,On W Fifth Ave From S Troy St To S Albany Ave,W Fifth Ave And S Troy St,W Fifth Ave And S Albany Ave
519,On N Paulina St From W Farragut Ave To W Berwyn Ave,N Paulina St And W Farragut Ave,N Paulina St And W Berwyn Ave
520,On W Farragut Ave From N Ravenswood Ave To N Paulina St,W Farragut Ave And N Ravenswood Ave,W Farragut Ave And N Paulina St
521,W Berwyn Ave And N Paulina St,W Berwyn Ave And N Paulina St,
522,On N Ravenswood Ave From W Balmoral Ave To W Farragut Ave,N Ravenswood Ave And W Balmoral Ave,N Ravenswood Ave And W Farragut Ave
523,On W Winona St From N Winchester Ave To N Wolcott Ave,W Winona St And N Winchester Ave,W Winona St And N Wolcott Ave
524,E 95th St And S Torrence Ave,E 95th St And S Torrence Ave,
525,On N Hiawatha Ave From W Peterson Ave To N Forest Glen Avee,N Hiawatha Ave And W Peterson Ave,N Hiawatha Ave And N Forest Glen Avee
527,On N Oriole Ave From W Jarvis Ave To W Birchwood Ave,N Oriole Ave And W Jarvis Ave,N Oriole Ave And W Birchwood Ave
528,On N Overhill Ave From W Jarvis Ave To W Sherwin Ave,N Overhill Ave And W Jarvis Ave,N Overhill Ave And W Sherwin Ave
529,On W Devon Ave From N Spokane Ave To N Caldwell Ave,W Devon Ave And N Spokane Ave,W Devon Ave And N Caldwell Ave
531,On N Leoti Ave From N Le Mai Ave To N Spokane Ave,N Leoti Ave And N Le Mai Ave,N Leoti Ave And N Spokane Ave
534,On N Spokane Ave From N Leoti Ave To W Devon Ave,N Spokane Ave And N Leoti Ave,N Spokane Ave And W Devon Ave
535,On W Jarvis Ave From N Oriole Ave To N Overhill Ave,W Jarvis Ave And N Oriole Ave,W Jarvis Ave And N Overhill Ave
536,W Peterson Ave And N Kilbourn Ave,W Peterson Ave And N Kilbourn Ave,
537,On S Damen Ave From W 100th St To W 101st St,S Damen Ave And W 100th St,S Damen Ave And W 101st St
538,On S Seeley Ave From W 101st St To W 101st Pl,S Seeley Ave And W 101st St,S Seeley Ave And W 101st Pl
539,On W 116th St From S Western Ave To S Maplewood Ave,W 116th St And S Western Ave,W 116th St And S Maplewood Ave
540,S Seeley Ave And W 101st St,S Seeley Ave And W 101st St,
542,On W 101st St From S Damen Ave To S Bell Ave,W 101st St And S Damen Ave,W 101st St And S Bell Ave
543,On W 118th St From S Western Ave To S Maplewood Ave,W 118th St And S Western Ave,W 118th St And S Maplewood Ave
545,On E 75th St From S Kingston Ave To S Phillips Ave,E 75th St And S Kingston Ave,E 75th St And S Phillips Ave
546,On S Drexel Ave From E 65th St To E 64th St,S Drexel Ave And E 65th St,S Drexel Ave And E 64th St
548,850-910 E 64th St,850 E 64th St,910 E 64th St
551,On S Ingleside Ave From E 65th St To E 64th St,S Ingleside Ave And E 65th St,S Ingleside Ave And E 64th St
552,On S Phillips Ave From E 73rd St To E 72nd St,S Phillips Ave And E 73rd St,S Phillips Ave And E 72nd St
553,On N Allen Ave From N Kimball Ave To N Milwaukee Ave,N Allen Ave And N Kimball Ave,N Allen Ave And N Milwaukee Ave
554,On N Elbridge Ave From W Barry Ave To N Drake Ave,N Elbridge Ave And W Barry Ave,N Elbridge Ave And N Drake Ave
555,On W Barry Ave From N Bernard St To N Elbridge Ave,W Barry Ave And N Bernard St,W Barry Ave And N Elbridge Ave
556,On W Barry Ave From N Elbridge Ave To N Drake Ave,W Barry Ave And N Elbridge Ave,W Barry Ave And N Drake Ave
557,N Lavergne Ave And W Cornelia Ave,N Lavergne Ave And W Cornelia Ave,
559,On N Kilbourn Ave From W Diversey Ave To W Parker Ave,N Kilbourn Ave And W Diversey Ave,N Kilbourn Ave And W Parker Ave
560,On W Barry Ave From N Bernard St To N Gresham Ave,W Barry Ave And N Bernard St,W Barry Ave And N Gresham Ave
561,On W Eddy St From W Cornelia Ave To W Newport Ave,W Eddy St And W Cornelia Ave,W Eddy St And W Newport Ave
562,On E 92nd St From S Cottage Grove Ave To S St Lawrence Ave,E 92nd St And S Cottage Grove Ave,E 92nd St And S St Lawrence Ave
564,E 92nd St And S St Lawrence Ave,E 92nd St And S St Lawrence Ave,
565,On E 94th St From S Dr Martin Luther King Jr Dr To S Wabash Ave,E 94th St And S Dr Martin Luther King Jr Dr,E 94th St And S Wabash Ave
569,On W 77th St From S Ada St To S Loomis Blvd,W 77th St And S Ada St,W 77th St And S Loomis Blvd
571,On W 86th St From S Bishop St To S Laflin St,W 86th St And S Bishop St,W 86th St And S Laflin St
572,On W 86th St From S Elizabeth St To S Throop St,W 86th St And S Elizabeth St,W 86th St And S Throop St
573,On W 86th St From S Racine Ave To S Elizabeth St,W 86th St And S Racine Ave,W 86th St And S Elizabeth St
576,On W 79th St From S Throop St To S Ada St,W 79th St And S Throop St,W 79th St And S Ada St
578,On W 86th St From S Laflin St To S Justine St,W 86th St And S Laflin St,W 86th St And S Justine St
579,On E 80th St From S Evans Ave To S Vernon Ave,E 80th St And S Evans Ave,E 80th St And S Vernon Ave
580,On E 82nd St From S Merrill Ave To S Jeffery Blvd,E 82nd St And S Merrill Ave,E 82nd St And S Jeffery Blvd
581,On N Leavitt St From W Lawrence Ave To W Leland Ave,N Leavitt St And W Lawrence Ave,N Leavitt St And W Leland Ave
582,N Seeley Ave And W Birchwood Ave,N Seeley Ave And W Birchwood Ave,
583,On W Hollywood Ave From N Lincoln Ave To N Rockwell Ave,W Hollywood Ave And N Lincoln Ave,W Hollywood Ave And N Rockwell Ave
584,On E 101st St From S Avenue M To S Avenue L,E 101st St And S Avenue M,E 101st St And S Avenue L
586,On S Avenue G From E 106th St To E 103rd St,S Avenue G And E 106th St,S Avenue G And E 103rd St
587,On E 101st St From S Avenue N To S Avenue M,E 101st St And S Avenue N,E 101st St And S Avenue M
588,On S Avenue F From E 104th St To E 105th St,S Avenue F And E 104th St,S Avenue F And E 105th St
589,E 101st St And S Ewing Ave,E 101st St And S Ewing Ave,
590,On S Perry Ave From W 112th St To W 113th St,S Perry Ave And W 112th St,S Perry Ave And W 113th St
596,On W 128th Pl From S Halsted St To S Peoria St,W 128th Pl And S Halsted St,W 128th Pl And S Peoria St
597,S Halsted St And W 128th Pl,S Halsted St And W 128th Pl,
599,On S Lawndale Ave From W 85th St To W 86th St,S Lawndale Ave And W 85th St,S Lawndale Ave And W 86th St
600,On W 68th St From S Kolmar Ave To S Kilbourn Ave,W 68th St And S Kolmar Ave,W 68th St And S Kilbourn Ave
601,W 85th St And S Lawndale Ave,W 85th St And S Lawndale Ave,
602,On S Kolmar Ave From W Marquette Rd To W 68th St,S Kolmar Ave And W Marquette Rd,S Kolmar Ave And W 68th St
603,On W 60th St From S Monitor Ave To S Mason Ave,W 60th St And S Monitor Ave,W 60th St And S Mason Ave
604,On W 86th St From S Lawndale Ave To S Central Park Ave,W 86th St And S Lawndale Ave,W 86th St And S Central Park Ave
737,Ashe Cps - 8505 S Ingleside Ave,8505 S Ingleside Ave,
738,Cook Cps - 8150 S Bishop St,8150 S Bishop St,
739,Davis N Cps - 3014 W 39th Pl,3014 W 39th Pl,
740,Field Cps - 7019 N Ashland Blvd,7019 N Ashland Blvd,
741,Gunsaulus Cps - 4420 S Sacramento Ave,4420 S Sacramento Ave,
742,Leland Cps - 5221 W Congress Pkwy,5221 W Congress Pkwy,
743,Morton Cps - 431 N Troy St,431 N Troy St,
744,Orozco Cps - 1940 W 18th St,1940 W 18th St,
745,Wadsworth Cps - 6420 S University Ave,6420 S University Ave,
746,Westcott Cps - 409 W 80th St,409 W 80th St,
747,Cather Cps - 2908 W Washington Blvd,2908 W Washington Blvd,
748,Corkery Cps - 2510 S Kildare Ave,2510 S Kildare Ave,
749,Fernwood Cps - 10041 S Union Ave,10041 S Union Ave,
750,Grissom Cps - 12810 S Escanaba Ave,12810 S Escanaba Ave,
751,Heroes Cps - 8344 S Commercial Ave,8344 S Commercial Ave,
752,Morrill Cps - 6011 S Rockwell St,6011 S Rockwell St,
753,Nash Cps - 4837 W Erie St,4837 W Erie St,
754,Schmid Cps - 9755 S Greenwood Ave,9755 S Greenwood Ave,
755,Webster Cps - 4055 W Arthington St,4055 W Arthington St,
836,On E 85th St From S Indiana Ave To S St Lawrence Ave,E 85th St And S Indiana Ave,E 85th St And S St Lawrence Ave
837,On E 96th St From S Houston Ave To S Commercial Ave,E 96th St And S Houston Ave,E 96th St And S Commercial Ave
838,On E 87th St From S State St To S Wabash Ave,E 87th St And S State St,E 87th St And S Wabash Ave
839,E 71st St And S Jeffery Blvd,E 71st St And S Jeffery Blvd,
840,On W 72nd St From S Avers Ave To S Hamlin Ave,W 72nd St And S Avers Ave,W 72nd St And S Hamlin Ave
841,N Ottawa Ave And W Waveland Ave,N Ottawa Ave And W Waveland Ave,
842,N Lake Shore Dr Sb And W Wilson Dr,N Lake Shore Dr Sb And W Wilson Dr,
994,W Leland Ave And N Clark St,W Leland Ave And N Clark St,
1013,On E 80th St From S Woodlawn Ave To S University Ave,E 80th St And S Woodlawn Ave,E 80th St And S University Ave
1014,On E 88th St From S Burley Ave To S Mackinaw Ave,E 88th St And S Burley Ave,E 88th St And S Mackinaw Ave
1015,On S St Lawrence Ave From E 83rd St To E 84th St,S St Lawrence Ave And E 83rd St,S St Lawrence Ave And E 84th St
1016,On W 62nd St From S Hoyne Ave To S Seeley Ave,W 62nd St And S Hoyne Ave,W 62nd St And S Seeley Ave
1017,On W 92nd St From S Normal Ave To S Eggleston Ave,W 92nd St And S Normal Ave,W 92nd St And S Eggleston Ave
1018,On W 93rd St From S Wentworth Ave To S La Salle St,W 93rd St And S Wentworth Ave,W 93rd St And S La Salle St
1019,S Hermitage Ave And W 58th St,S Hermitage Ave And W 58th St,
1020,On E 86th St From S St Lawrence Ave To S Champlain Ave,E 86th St And S St Lawrence Ave,E 86th St And S Champlain Ave
1021,On E 94th St From S Woodlawn Ave To S Kimbark Ave,E 94th St And S Woodlawn Ave,E 94th St And S Kimbark Ave
1022,On W 122nd St From S Loomis St To S Bishop St,W 122nd St And S Loomis St,W 122nd St And S Bishop St
1023,On W 91st St From S Normal Ave To S Eggleston Ave,W 91st St And S Normal Ave,W 91st St And S Eggleston Ave
1024,On W 93rd St From S Normal Ave To S Eggleston Ave,W 93rd St And S Normal Ave,W 93rd St And S Eggleston Ave
1025,On W 94th St From S Normal Ave To S Eggleston Ave,W 94th St And S Normal Ave,W 94th St And S Eggleston Ave
1060,10100 S Seeley Ave,10100 S Seeley Ave,
1103,On W Hollywood Ave From N Rockwell St To N Washtenaw Ave,W Hollywood Ave And N Rockwell St,W Hollywood Ave And N Washtenaw Ave
1131,On N Lamon Ave From W Bloomingdale Ave To W Concord Pl,N Lamon Ave And W Bloomingdale Ave,N Lamon Ave And W Concord Pl
1132,On N Laramie Ave From W Bloomingdale Ave To W Concord Pl,N Laramie Ave And W Bloomingdale Ave,N Laramie Ave And W Concord Pl
1143,W 76th St And S Halsted St,W 76th St And S Halsted St,
1144,613-700 W 77th St,613 W 77th St,700 W 77th St
1145,W 78th St And S Emerald Ave,W 78th St And S Emerald Ave,
1146,On S Avenue O From E 133rd St To E 135th St,S Avenue O And E 133rd St,S Avenue O And E 135th St
1147,On S Halsted St From W 75th St To W 78th St,S Halsted St And W 75th St,S Halsted St And W 78th St
1148,W Altgeld St And N Keeler Ave,W Altgeld St And N Keeler Ave,
1149,W 60th St And S Hamlin Ave,W 60th St And S Hamlin Ave,
1150,W 52nd St And S Kostner Ave,W 52nd St And S Kostner Ave,
1151,S Halsted St And W 77th St,S Halsted St And W 77th St,
1152,W Cullom Ave And N Ravenswood Ave,W Cullom Ave And N Ravenswood Ave,
1153,N Maplewood Ave And W North Shore Ave,N Maplewood Ave And W North Shore Ave,
1154,N Hamlin Ave And W Addison St,N Hamlin Ave And W Addison St,
1155,E 90th St And S Constance Ave,E 90th St And S Constance Ave,
1156,N Rockwell St And W Foster Ave,N Rockwell St And W Foster Ave,
1157,W Belle Plaine Ave And N Albany Ave,W Belle Plaine Ave And N Albany Ave,
1158,E 118th St And S Prairie Ave,E 118th St And S Prairie Ave,
1159,N Fairfield Ave And W Albion Ave,N Fairfield Ave And W Albion Ave,
1160,N Keystone Ave And W Glenlake Ave,N Keystone Ave And W Glenlake Ave,
1161,N Nordica Ave And W Berwyn Ave,N Nordica Ave And W Berwyn Ave,
1162,S Genoa Ave And W 98th St,S Genoa Ave And W 98th St,
1163,S Parnell Ave And W 129th Pl,S Parnell Ave And W 129th Pl,
1164,W 57th St And S Kedzie Ave,W 57th St And S Kedzie Ave,
1165,W 70th St And S Ashland Ave,W 70th St And S Ashland Ave,
1166,W Hunt Ave And S Longwood Dr,W Hunt Ave And S Longwood Dr,
1168,W 116th St And S Western Ave,W 116th St And S Western Ave,
1169,S Marshfield Ave And W 88th St,S Marshfield Ave And W 88th St,
1170,N Merrimac Ave And W Dickens Ave,N Merrimac Ave And W Dickens Ave,
1171,On W North Shore Ave From N Western Ave To N Talman Ave,W North Shore Ave And N Western Ave,W North Shore Ave And N Talman Ave
1172,On W Belle Plaine Ave From N Whipple St To N Sacramento Ave,W Belle Plaine Ave And N Whipple St,W Belle Plaine Ave And N Sacramento Ave
1173,On W Belle Plaine Ave From N Troy St To N Kedzie Ave,W Belle Plaine Ave And N Troy St,W Belle Plaine Ave And N Kedzie Ave
1174,On W Belle Plaine Ave From N Lawndale Ave To N Ridgeway Ave,W Belle Plaine Ave And N Lawndale Ave,W Belle Plaine Ave And N Ridgeway Ave
1175,On W Altgeld St From N Sawyer Ave To N Kedzie Blvd,W Altgeld St And N Sawyer Ave,W Altgeld St And N Kedzie Blvd
1176,On W 91st St From S Laflin St To S Bishop St,W 91st St And S Laflin St,W 91st St And S Bishop St
1177,On W 70th St From S Justine St To S Bishop St,W 70th St And S Justine St,W 70th St And S Bishop St
1178,On W 64th St From S Damen Ave To S Paulina St,W 64th St And S Damen Ave,W 64th St And S Paulina St
1179,On W 46th St From S Harding Ave To S Hamlin Ave,W 46th St And S Harding Ave,W 46th St And S Hamlin Ave
1180,On W 18th St From S Racine Ave To S Throop St,W 18th St And S Racine Ave,W 18th St And S Throop St
1181,On W 17th St From S Laflin St To S Ashland Ave,W 17th St And S Laflin St,W 17th St And S Ashland Ave
1182,On W 117th St From S Watkins Ave To S Church St,W 117th St And S Watkins Ave,W 117th St And S Church St
1183,5400-5482 S Ridgewood Ct,5400 S Ridgewood Ct,5482 S Ridgewood Ct
1184,On S Longwood Dr From W 119th St To W 116th St,S Longwood Dr And W 119th St,S Longwood Dr And W 116th St
1185,On W 115th St From S St Louis Ave To S Homan Ave,W 115th St And S St Louis Ave,W 115th St And S Homan Ave
1187,On E 87th St From S Constance Ave To S Euclid Ave,E 87th St And S Constance Ave,E 87th St And S Euclid Ave
1188,On N Hamlin Ave From W Addison St To W Cornelia Ave,N Hamlin Ave And W Addison St,N Hamlin Ave And W Cornelia Ave
1189,On N Kilpatrick Ave From W Chicago Ave To W Augusta Blvd,N Kilpatrick Ave And W Chicago Ave,N Kilpatrick Ave And W Augusta Blvd
1190,On N Mulligan Ave From W Grand Ave To W Palmer St,N Mulligan Ave And W Grand Ave,N Mulligan Ave And W Palmer St
1191,On N Paulina St From W Montrose Ave To W Cullom Ave,N Paulina St And W Montrose Ave,N Paulina St And W Cullom Ave
1192,On N Meade Ave From W Addison St To W Cornelia Ave,N Meade Ave And W Addison St,N Meade Ave And W Cornelia Ave
1193,On N Sedgwick St From W Chicago Ave To W Oak St,N Sedgwick St And W Chicago Ave,N Sedgwick St And W Oak St
1194,On N Whipple St From W Berteau Ave To W Belle Plaine Ave,N Whipple St And W Berteau Ave,N Whipple St And W Belle Plaine Ave
1195,On S Christiana Ave From W 82nd St To W 83rd St,S Christiana Ave And W 82nd St,S Christiana Ave And W 83rd St
1196,On S Constance Ave From E 87th St To E 90th St,S Constance Ave And E 87th St,S Constance Ave And E 90th St
1197,On S Genoa Ave From W 98th St To W 96th St,S Genoa Ave And W 98th St,S Genoa Ave And W 96th St
1199,On N Rockwell St From W Berwyn Ave To W Foster Ave,N Rockwell St And W Berwyn Ave,N Rockwell St And W Foster Ave
1200,On W 87th St From S Winchester Ave To S Honore St,W 87th St And S Winchester Ave,W 87th St And S Honore St
1201,On W 18th St From S Loomis St To S Throop St,W 18th St And S Loomis St,W 18th St And S Throop St
1202,On W 25th St From S Pulaski Rd To S Avers Ave,W 25th St And S Pulaski Rd,W 25th St And S Avers Ave
1203,On W 58th St From S Damen Ave To S Hoyne Ave,W 58th St And S Damen Ave,W 58th St And S Hoyne Ave
1204,On W 70th St From S Ashland Ave To S Justine St,W 70th St And S Ashland Ave,W 70th St And S Justine St
1205,On W 96th St From S Genoa Ave To S Carpenter St,W 96th St And S Genoa Ave,W 96th St And S Carpenter St
1206,On W Belle Plaine Ave From N Sacramento Ave To N Richmond St,W Belle Plaine Ave And N Sacramento Ave,W Belle Plaine Ave And N Richmond St
1207,On W Belle Plaine Ave From N Whipple St To N Albany Ave,W Belle Plaine Ave And N Whipple St,W Belle Plaine Ave And N Albany Ave
1208,On W Cullerton St From S Loomis St To S Throop St,W Cullerton St And S Loomis St,W Cullerton St And S Throop St
1209,On W Palmer St From N Mulligan Ave To N Natchez Ave,W Palmer St And N Mulligan Ave,W Palmer St And N Natchez Ave
1210,S Hermitage Ave And W 88th St,S Hermitage Ave And W 88th St,
1211,On W 123rd St From S Carpenter St To S Peoria St,W 123rd St And S Carpenter St,W 123rd St And S Peoria St
1212,On W Belle Plaine Ave From N Albany Ave To N Troy St,W Belle Plaine Ave And N Albany Ave,W Belle Plaine Ave And N Troy St
1213,On W 116th Pl From S Western Ave To S Bell Ave,W 116th Pl And S Western Ave,W 116th Pl And S Bell Ave
1214,On N Rockwell St From W Berwyn Ave To W Summerdale Ave,N Rockwell St And W Berwyn Ave,N Rockwell St And W Summerdale Ave
1215,On S Langley Ave From E 69th St To E 67th St,S Langley Ave And E 69th St,S Langley Ave And E 67th St
1216,W North Shore Ave And N Maplewood Ave,W North Shore Ave And N Maplewood Ave,
1219,On E 88th St From S Constance Ave To S Euclid Ave,E 88th St And S Constance Ave,E 88th St And S Euclid Ave
1220,On N Hudson Ave From W Chicago Ave To W Oak St,N Hudson Ave And W Chicago Ave,N Hudson Ave And W Oak St
1221,On N Marmora Ave From W Addison St To W Newport Ave,N Marmora Ave And W Addison St,N Marmora Ave And W Newport Ave
1222,On S Wolcott Ave From W 77th St To W 78th St,S Wolcott Ave And W 77th St,S Wolcott Ave And W 78th St
1223,On N Meade Ave From W Belmont Ave To W Henderson St,N Meade Ave And W Belmont Ave,N Meade Ave And W Henderson St
1224,On N Ridgeway Ave From W Berteau Ave To N Elston Ave,N Ridgeway Ave And W Berteau Ave,N Ridgeway Ave And N Elston Ave
1225,On N Washtenaw Ave From W Berwyn Ave To W Foster Ave,N Washtenaw Ave And W Berwyn Ave,N Washtenaw Ave And W Foster Ave
1226,On S Bishop St From W 92nd St To W 91st St,S Bishop St And W 92nd St,S Bishop St And W 91st St
1229,On S Harding Ave From W 47th St To W 46th St,S Harding Ave And W 47th St,S Harding Ave And W 46th St
1230,On N Olcott Ave From W Palatine Ave To W Devon Ave,N Olcott Ave And W Palatine Ave,N Olcott Ave And W Devon Ave
1231,2232-2400 W 116th St,2232 W 116th St,2400 W 116th St
1251,On S St Louis Ave From W 81st Pl To W Columbus Ave,S St Louis Ave And W 81st Pl,S St Louis Ave And W Columbus Ave
1253,On S Scottsdale Ave From W 81st St To S Knox Ave,S Scottsdale Ave And W 81st St,S Scottsdale Ave And S Knox Ave
1314,On S Emerald Ave From W 75th St To W 79th St,S Emerald Ave And W 75th St,S Emerald Ave And W 79th St
1333,On N Keystone Ave From W Peterson Ave To W Glenlake Ave,N Keystone Ave And W Peterson Ave,N Keystone Ave And W Glenlake Ave
1335,On W Byron St From N Newcastle Ave To N New England Ave,W Byron St And N Newcastle Ave,W Byron St And N New England Ave
1336,On W Barry Ave From N Osceola Ave To N Oketo Ave,W Barry Ave And N Osceola Ave,W Barry Ave And N Oketo Ave
1337,On W Barry Ave From N Olcott Ave To N Osceola Ave,W Barry Ave And N Olcott Ave,W Barry Ave And N Osceola Ave
1338,On W 57th St From S Spaulding Ave To S Homan Ave,W 57th St And S Spaulding Ave,W 57th St And S Homan Ave
1340,On S Kostner Ave From W 51st St To W 52nd St,S Kostner Ave And W 51st St,S Kostner Ave And W 52nd St
1341,On N Olcott Ave From W Palatine Ave To W Hortense Ave,N Olcott Ave And W Palatine Ave,N Olcott Ave And W Hortense Ave
1342,On N Olcott Ave From W Devon Ave To W Isham Ave,N Olcott Ave And W Devon Ave,N Olcott Ave And W Isham Ave
1343,On N Oketo Ave From W Isham Ave To N Avondale Ave,N Oketo Ave And W Isham Ave,N Oketo Ave And N Avondale Ave
1344,On N Nordica Ave From W Berwyn Ave To W Farragut Ave,N Nordica Ave And W Berwyn Ave,N Nordica Ave And W Farragut Ave
1345,On W 52nd St From S Kostner Ave To S Keeler Ave,W 52nd St And S Kostner Ave,W 52nd St And S Keeler Ave
1346,On W Byron St From N Newcastle Ave To N Oak Park Ave,W Byron St And N Newcastle Ave,W Byron St And N Oak Park Ave
1347,On W Berwyn Ave From N Nordica Ave To N Newland Ave,W Berwyn Ave And N Nordica Ave,W Berwyn Ave And N Newland Ave
1348,On W Barry Ave From N Oleander Ave To N Oriole Ave,W Barry Ave And N Oleander Ave,W Barry Ave And N Oriole Ave
1349,On W Barry Ave From N Olcott Ave To N Oleander Ave,W Barry Ave And N Olcott Ave,W Barry Ave And N Oleander Ave
1350,On W 57th St From S Kedzie Ave To S Spaulding Ave,W 57th St And S Kedzie Ave,W 57th St And S Spaulding Ave
1351,On N Olcott Ave From W Hortense Ave To W Devon Ave,N Olcott Ave And W Hortense Ave,N Olcott Ave And W Devon Ave
1352,On N Pulaski Rd From W Glenlake Ave To W Granville Ave,N Pulaski Rd And W Glenlake Ave,N Pulaski Rd And W Granville Ave
1353,On N Olcott Ave From W Belmont Ave To W Barry Ave,N Olcott Ave And W Belmont Ave,N Olcott Ave And W Barry Ave
1354,On N Oak Park Ave From W Byron St To W Dakin St,N Oak Park Ave And W Byron St,N Oak Park Ave And W Dakin St
1355,On N Newcastle Ave From W Grace St To W Byron St,N Newcastle Ave And W Grace St,N Newcastle Ave And W Byron St
1356,On W Glenlake Ave From N Keystone Ave To N Pulaski Rd,W Glenlake Ave And N Keystone Ave,W Glenlake Ave And N Pulaski Rd
1357,On W 51st St From S Kilbourn Ave To S Kostner Ave,W 51st St And S Kilbourn Ave,W 51st St And S Kostner Ave
1358,N Seminary Ave And W Diversey Pkwy,N Seminary Ave And W Diversey Pkwy,
1359,On N Neva Ave From W Bryn Mawr Ave To W Talcott Ave,N Neva Ave And W Bryn Mawr Ave,N Neva Ave And W Talcott Ave
1360,On W Talcott Ave From N Neva Ave To N Ozanam Ave,W Talcott Ave And N Neva Ave,W Talcott Ave And N Ozanam Ave
