,location_name,from,to,from_lat_long,to_lat_long
125,On S Carpenter St From W 64th St To W 65th St,S Carpenter St And W 64th St,S Carpenter St And W 65th St,"[41.777835, -87.650815]","[41.776032, -87.650776]"
126,On S Constance Ave From E 88th St To E 90th St,S Constance Ave And E 88th St,S Constance Ave And E 90th St,"[41.73521, -87.57932]","[41.731547, -87.579237]"
127,On S Davol St From W Monterey Ave To W Waseca Pl,S Davol St And W Monterey Ave,S Davol St And W Waseca Pl,"[41.689374, -87.662499]","[41.68846, -87.662805]"
128,On S Eggleston Ave From W 105th St To W 106th St,S Eggleston Ave And W 105th St,S Eggleston Ave And W 106th St,"[41.703395, -87.634229]","[41.701555, -87.634217]"
129,On S Hamlin Ave From W 66th St To W Marquette Rd,S Hamlin Ave And W 66th St,S Hamlin Ave And W Marquette Rd,"[41.773242, -87.717729]","[41.771435, -87.717682]"
130,On S Hermitage Ave From W 47th St To W 46th St,S Hermitage Ave And W 47th St,S Hermitage Ave And W 46th St,"[41.808604, -87.668611]","[41.8103982, -87.668669]"
131,On S Hoyne Ave From W 72nd St To W 71st Pl,S Hoyne Ave And W 72nd St,S Hoyne Ave And W 71st Pl,"[41.762974, -87.67593]","[41.763863, -87.675957]"
132,On S Karlov Ave From W Arthington St To W Polk St,S Karlov Ave And W Arthington St,S Karlov Ave And W Polk St,"[41.8699867, -87.7277669]","[41.8709134, -87.7277991]"
133,On S Kenneth Ave From W 81st Pl To W 81st St,S Kenneth Ave And W 81st Pl,S Kenneth Ave And W 81st St,"[41.744916, -87.7329643]","[41.7452939, -87.733185]"
134,On S Lawndale Ave From W 64th Pl To W 66th St,S Lawndale Ave And W 64th Pl,S Lawndale Ave And W 66th St,"[41.776022, -87.715357]","[41.773289, -87.715283]"
135,On S Perry Ave From W Marquette Rd To W 68th St,S Perry Ave And W Marquette Rd,S Perry Ave And W 68th St,"[41.772711, -87.628368]","[41.770897, -87.628291]"
136,On S Ashland Ave From S Church St To W 109th St,S Ashland Ave And S Church St,S Ashland Ave And W 109th St,"[41.696354, -87.661976]","[41.6957833, -87.6619343]"
147,3500-3520 N Reta Ave,3500 N Reta Ave,3520 N Reta Ave,"[41.945617, -87.650999]","[41.94618, -87.651012]"
148,1656-1756 W Carmen Ave,1656 W Carmen Ave,1756 W Carmen Ave,"[41.974297720767176, -87.67405590900222]","[41.974297659493146, -87.67397933151237]"
158,On S Avenue J From E 104th St To E 103rd St,S Avenue J And E 104th St,S Avenue J And E 103rd St,"[41.706384, -87.534067]","[41.708216, -87.534063]"
174,On W 77th St From S Union Ave To S Lowe Ave,W 77th St And S Union Ave,W 77th St And S Lowe Ave,"[41.754311, -87.641701]","[41.754339, -87.640485]"
175,On S Halsted St From W 78th St To W 79th St,S Halsted St And W 78th St,S Halsted St And W 79th St,"[41.752467, -87.644107]","[41.750648, -87.64406]"
177,7503-7859 S Emerald Ave,7503 S Emerald Ave,7859 S Emerald Ave,"[41.7576024537777, -87.6429517375863]","[41.7489633, -87.64263]"
178,On S Green Bay Ave From E 103rd St To E 106th St,S Green Bay Ave And E 103rd St,S Green Bay Ave And E 106th St,"[41.708192, -87.541328]","[41.702754, -87.54132]"
194,On W 62nd St From S Ashland Ave To S Laflin St,W 62nd St And S Ashland Ave,W 62nd St And S Laflin St,"[41.7813113, -87.6642075]","[41.781327, -87.661847]"
197,On S Ada St From W 79th St To W 77th St,S Ada St And W 79th St,S Ada St And W 77th St,"[41.750444, -87.656992]","[41.754078, -87.657062]"
198,On W 77th St From S Loomis Blvd To S Bishop St,W 77th St And S Loomis Blvd,W 77th St And S Bishop St,"[41.754071, -87.658693]","[41.754052, -87.660308]"
199,On W 77th St From S Ada St To S Throop St,W 77th St And S Ada St,W 77th St And S Throop St,"[41.754078, -87.657062]","[41.7541171, -87.6554428]"
200,On E Oakwood Blvd From S Langley Ave To S Vincennes Ave,E Oakwood Blvd And S Langley Ave,E Oakwood Blvd And S Vincennes Ave,"[41.822738, -87.609784]","[41.822698, -87.612877]"
201,On S Langley Ave From E 40th St To E Oakwood Blvd,S Langley Ave And E 40th St,S Langley Ave And E Oakwood Blvd,"[41.821471, -87.609754]","[41.822738, -87.609784]"
202,On W Montrose Ave From N Narragansett Ave To N Austin Ave,W Montrose Ave And N Narragansett Ave,W Montrose Ave And N Austin Ave,"[41.9602162, -87.786825]","[41.9603599, -87.7770283]"
