,all_locations,api_address,lat_long,location_object,quality
1848,1840 W 115th St,"1840 W 115th St, Chicago, IL 60643","[41.6847511996585, -87.66727652781744]","<[OK] Bing - Geocode [1840 W 115th St, Chicago, IL 60643]>",Address
3756,1860 W 115th St,"1860 W 115th St, Chicago, IL 60643","[41.68474535021079, -87.66756870340461]","<[OK] Bing - Geocode [1860 W 115th St, Chicago, IL 60643]>",Address
946,1860 W Fullerton Ave,"1860 W Fullerton Ave, Chicago, IL 60614","[41.9255349, -87.6750504]","<[OK] Bing - Geocode [1860 W Fullerton Ave, Chicago, IL 60614]>",Address
1261,1862 S Millard Ave,"1862 S Millard Ave, Chicago, IL 60623","[41.8552856, -87.7166748]","<[OK] Bing - Geocode [1862 S Millard Ave, Chicago, IL 60623]>",Address
2931,1875 W Fullerton Ave,"1875 W Fullerton Ave, Chicago, IL 60614","[41.924926, -87.675175]","<[OK] Bing - Geocode [1875 W Fullerton Ave, Chicago, IL 60614]>",Address
4026,19 W Illinois St,"19 W Illinois St, Chicago, IL 60654","[41.89081487907993, -87.62895152664959]","<[OK] Bing - Geocode [19 W Illinois St, Chicago, IL 60654]>",Address
2181,1900 N Laramie Ave,"1900 N Laramie Ave, Chicago, IL 60639","[41.914911, -87.756239]","<[OK] Bing - Geocode [1900 N Laramie Ave, Chicago, IL 60639]>",Address
3222,1900 S Millard Ave,"1900 S Millard Ave, Chicago, IL 60623","[41.854941, -87.716676]","<[OK] Bing - Geocode [1900 S Millard Ave, Chicago, IL 60623]>",Address
515,1940 W 18th St,"1940 W 18th St, Chicago, IL 60608","[41.857974, -87.675315]","<[OK] Bing - Geocode [1940 W 18th St, Chicago, IL 60608]>",Address
2909,1945 N Nordica Ave,"1945 N Nordica Ave, Chicago, IL 60707","[41.915716, -87.801808]","<[OK] Bing - Geocode [1945 N Nordica Ave, Chicago, IL 60707]>",Address
927,2 E Ohio St,"2 E Ohio St, Chicago, IL 60611","[41.89254038478695, -87.62790033190971]","<[OK] Bing - Geocode [2 E Ohio St, Chicago, IL 60611]>",Address
966,2 N Morgan St,"2 N Morgan St, Chicago, IL 60607","[41.882405, -87.6526583]","<[OK] Bing - Geocode [2 N Morgan St, Chicago, IL 60607]>",Address
939,2 S Morgan St,"2 S Morgan St, Chicago, IL 60607","[41.881587, -87.65217]","<[OK] Bing - Geocode [2 S Morgan St, Chicago, IL 60607]>",Address
4053,2 W Superior St,"2 W Superior St, Chicago, IL 60654","[41.8954685, -87.629891]","<[OK] Bing - Geocode [2 W Superior St, Chicago, IL 60654]>",Address
2926,20 S Morgan St,"20 S Morgan St, Chicago, IL 60607","[41.8815149078032, -87.65208877074201]","<[OK] Bing - Geocode [20 S Morgan St, Chicago, IL 60607]>",Address
1267,200 W Couch Pl,"200 W Couch Pl, Chicago, IL 60601","[41.88514451218724, -87.63292861385051]","<[OK] Bing - Geocode [200 W Couch Pl, Chicago, IL 60601]>",Address
4044,2000 N Laramie Ave,"2000 N Laramie Ave, Chicago, IL 60639","[41.91678157191472, -87.75601915428739]","<[OK] Bing - Geocode [2000 N Laramie Ave, Chicago, IL 60639]>",Address
