,project_number,location_name,year_range,from,to
4035,[170 -04] 37896,On N Lincoln Ave From W Peterson Ave To N Whipple St,2014-2018,N Lincoln Ave And W Peterson Ave,N Lincoln Ave And N Whipple St
4057,[170 -04] 37896,On N Western Ave From N 404 To W Grand Ave,2014-2018,404 N Western Ave,N Western Ave And W Grand Ave
4061,[170 -04] 37896,On S Clinton St From W Madison St To W Kinzie St,2014-2018,S Clinton St And W Madison St,S Clinton St And W Kinzie St
4063,[170 -04] 37896,On S Harper Ave From E 58th St To E 59th St,2014-2018,S Harper Ave And E 58th St,S Harper Ave And E 59th St
4071,[170 -04] 37896,On E Chicago Ave From E 38  To N Clark St,2014-2018,E Chicago Ave And E 38 ,E Chicago Ave And N Clark St
4113,[170 -04] 37896,On N Nagel From N Northwest Hwy To N Avondale Ave,2014-2018,N Nagel And N Northwest Hwy,N Nagel And N Avondale Ave
4119,[170 -04] 37896,On E Congress Pkwy From S Wabash Ave To S Michigan Ave,2014-2018,E Congress Pkwy And S Wabash Ave,E Congress Pkwy And S Michigan Ave
4126,[170 -04] 37896,On N Central Ave From N Prescott To N Hennepin,2014-2018,N Central Ave And N Prescott,N Central Ave And N Hennepin
4141,[170 -04] 37896,On S Michigan Ave From S 200  To S 220,2014-2018,S Michigan Ave And S 200 ,220 S Michigan Ave
4144,[170 -04] 37896,On W Hubbard St From W 164 To N Michigan Ave,2014-2018,164 W Hubbard St,W Hubbard St And N Michigan Ave
4146,[170 -04] 37896,On W Lithuanian Plaza Ct From S California Ave To S Oakley Ave,2014-2018,W Lithuanian Plaza Ct And S California Ave,W Lithuanian Plaza Ct And S Oakley Ave
4148,[170 -04] 37896,On W North Ave From N Harding Ave To N Hamlin Ave,2014-2018,W North Ave And N Harding Ave,W North Ave And N Hamlin Ave
4162,[170 -04] 37896,On W Thorndale Ave From N Keystone Ave To N Pulaski Rd,2014-2018,W Thorndale Ave And N Keystone Ave,W Thorndale Ave And N Pulaski Rd
4170,[170 -04] 37896,On S Wallace St From W Garfield Blvd To W 57th St,2014-2018,S Wallace St And W Garfield Blvd,S Wallace St And W 57th St
4172,[170 -04] 37896,On W Elm St From N Cleveland Ave To N Sedgwick St,2014-2018,W Elm St And N Cleveland Ave,W Elm St And N Sedgwick St
