,Project_#,Project_Location
231,[170 -04] 37898,2300-2424 W Medill Ave
232,[170 -04] 37898,4236-4400 N Whipple St
233,[170 -04] 37898,4812-4900 W Patterson Ave
234,[170 -04] 37898,22-100 N Sangamon St
235,[170 -04] 37898,1800-1945 N Nordica Ave
236,[170 -04] 37898,On W Maypole Ave From N Karlov Ave To N Pulaski Rd
237,[170 -04] 37898,On W Mclean Ave From N Humboldt Blvd East To N Mozart St
238,[170 -04] 37898,On W Medill Ave From N Western Ave To N Oakley Ave
239,[170 -04] 37898,On W Peterson Ave From N Melvina Ave To N Austin Ave
240,[170 -04] 37898,On W Schubert Ave From N Lavergne Ave To N Lamon Ave
241,[170 -04] 37898,On W St Paul Ave From N Leclaire Ave To N Lamon Ave
242,[170 -04] 37898,On W Warwick Ave From N Lavergne Ave To N Lamon Ave
243,[170 -04] 37898,2-100 E Ohio St
244,[170 -04] 37898,4863-5500 N Ashland Ave
245,[170 -04] 37898,300-333 N California Ave
246,[170 -04] 37898,3615-3941 N Cumberland Ave
247,[170 -04] 37898,4440-4722 N Kedzie Ave
248,[170 -04] 37898,6075-6374 N Lincoln Ave
249,[170 -04] 37898,5300-5500 N Milwaukee Ave
250,[170 -04] 37898,6500-6526 N Neva Ave
251,[170 -04] 37898,1600-1727 N Parkside Ave
252,[170 -04] 37898,7632-7728 W Touhy Ave
253,[170 -04] 37898,On W Madison St From N Sacramento Blvd To N Homan Blvd
254,[170 -04] 37898,2400-2144 S Bross Av
255,[170 -04] 37898,10500-10629 S Drake Ave
256,[170 -04] 37898,3200-3418 S Hamilton Ave
257,[170 -04] 37898,7206-7222 S Luella Ave
258,[170 -04] 37898,2-20 S Morgan St
259,[170 -04] 37898,6600-6700 S Stewart Ave
260,[170 -04] 37898,3110-3900 S Ashland Ave
261,[170 -04] 37898,2708-2800 W 39th Pl
262,[170 -04] 37898,2500-2540 W Argyle St
263,[170 -04] 37898,3000-3100 W Carroll Ave
264,[170 -04] 37898,2700-2920 W Congress Pkwyss
265,[170 -04] 37898,1860-1875 W Fullerton Ave
266,[170 -04] 37898,340-0 W Illinois St
267,[170 -04] 37898,3110-3200 W Logan Blvd
268,[170 -04] 37898,3600-3626 W 84th Pl
269,[170 -04] 37898,1200-1225 N Springfield Ave
270,[170 -04] 37898,3615-3645 N Pontiac Ave
271,[170 -04] 37898,3900-3941 N Paris Ave
272,[170 -04] 37898,On W Maypole Ave From N Kenton Ave To N Kildare Ave
273,[170 -04] 37898,On W Mclean Ave From N Oakley Ave To N Western Ave
274,[170 -04] 37898,On W Newport Ave From N Lockwood Ave To N Laramie Ave
275,[170 -04] 37898,On W Rascher Ave From N Canfield Ave To N Oriole Ave
276,[170 -04] 37898,On W Shakespeare Ave From N California Ave To N Mozart St
277,[170 -04] 37898,On W Strong St From N Lockwood Ave To N Cicero Ave
