,Project_#,Project_Location
382,[170 -02] 38894,On S Bishop St From W 85th St To W 86th St
383,[170 -02] 38894,On W 86th St From S Bishop St To S Justine St
384,[170 -02] 38894,On W 86th St From S Racine Ave To S Throop St
385,[170 -02] 38894,On S Racine Ave From W 85th St To W 86th St
386,[170 -02] 38894,On W 86th St From S Bishop St To S Loomis Blvd
387,[170 -02] 39054,N Rockwell St And W Catalpa Ave
388,[170 -02] 39054,W Hollywood Ave And N Rockwell St
389,[170 -02] 39054,W Bryn Mawr Ave And N Campbell Ave
390,[170 -02] 39099,On S Cottage Grove Ave From E 41st St To E 43rd St
391,[170 -02] 39344,6858-7044 N Octavia Ave
392,[170 -02] 39462,On W Diversey Pkwy From N Sheffield Ave To N Seminary Ave
393,[170 -02] 39462,N Kenmore Ave And W Diversey Pkwy
394,[170 -02] 39464,On S Kingston Ave From E 74th St To E 75th St
395,[170 -02] 39560,On E 104th St From S Avenue O To S Avenue E
